 num     #instances         #bytes  class name (module)
 177:           677          16248  org.apache.kafka.common.utils.LogContext$LocationAwareKafkaLogger
 178:           337          16176  sun.security.x509.X500Name (java.base@17.0.13)
 179:           673          16152  java.security.Provider$ServiceKey (java.base@17.0.13)
 180:           672          16128  org.springframework.boot.origin.OriginTrackedValue$OriginTrackedCharSequence
 181:           249          15936  java.security.Provider$Service (java.base@17.0.13)
 182:           653          15672  org.springframework.beans.MutablePropertyValues
 183:           962          15392  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 184:           641          15384  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.13)
 185:           468          14976  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.13)
 186:           623          14952  org.springframework.core.annotation.MergedAnnotationsCollection
 187:           602          14448  java.lang.invoke.LambdaForm$NamedFunction (java.base@17.0.13)
 188:           449          14368  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17.0.13)
 189:           688          14240  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@17.0.13)
 190:           443          14176  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@17.0.13)
 191:           588          14112  org.springframework.beans.BeanMetadataAttribute
 192:           159          13992  java.util.regex.Pattern (java.base@17.0.13)
 193:           348          13920  org.apache.kafka.common.PartitionInfo
 194:           348          13920  org.apache.kafka.common.requests.MetadataResponse$PartitionMetadata
 195:           434          13888  org.apache.kafka.common.protocol.types.Field$TaggedFieldsSection
 196:           374          13616  [Lorg.apache.kafka.common.protocol.types.Schema;
 197:           282          13536  java.util.WeakHashMap (java.base@17.0.13)
 198:           211          13504  java.util.zip.Inflater (java.base@17.0.13)
 199:           140          13440  org.apache.kafka.clients.ClusterConnectionStates$NodeConnectionState
 200:           836          13376  java.util.Optional (java.base@17.0.13)
 201:           167          13360  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap
 202:           165          13200  java.net.URI (java.base@17.0.13)
 203:           164          13120  sun.security.x509.X509CertImpl (java.base@17.0.13)
 204:           406          12992  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 205:           801          12816  org.springframework.boot.autoconfigure.condition.ConditionMessage
 206:           532          12768  java.util.concurrent.atomic.AtomicLong (java.base@17.0.13)
 207:           199          12736  java.nio.DirectByteBuffer (java.base@17.0.13)
 208:           397          12704  sun.reflect.generics.reflectiveObjects.TypeVariableImpl (java.base@17.0.13)
 209:           521          12504  java.lang.Long (java.base@17.0.13)
 210:           381          12192  java.lang.invoke.MethodTypeForm (java.base@17.0.13)
 211:           215          12040  org.springframework.core.type.classreading.SimpleAnnotationMetadata
 212:           492          11808  sun.security.x509.AlgorithmId (java.base@17.0.13)
 213:           489          11736  java.util.ImmutableCollections$List12 (java.base@17.0.13)
 214:           483          11592  java.util.ImmutableCollections$Set12 (java.base@17.0.13)
 215:           161          11592  org.springframework.core.annotation.AnnotationTypeMapping
 216:           479          11496  com.sun.jmx.mbeanserver.NamedObject (java.management@17.0.13)
 217:           204          11424  com.dynatrace.agent.util.json.JSONObject
 218:           234          11232  sun.security.util.MemoryCache$SoftCacheEntry (java.base@17.0.13)
 219:           337          11224  [Lsun.security.x509.RDN; (java.base@17.0.13)
 220:           341          10912  jdk.internal.math.FDBigInteger (java.base@17.0.13)
 221:           448          10752  java.util.ArrayDeque (java.base@17.0.13)
 222:           131          10480  java.util.zip.ZipFile$Source (java.base@17.0.13)
 223:           187          10472  java.nio.HeapByteBuffer (java.base@17.0.13)
 224:           324          10368  java.util.RegularEnumSet (java.base@17.0.13)
 225:           647          10352  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 226:            28          10304  java.lang.Thread (java.base@17.0.13)
 227:           426          10224  org.apache.kafka.common.metrics.JmxReporter$KafkaMbean
 228:           211          10128  java.util.logging.LogManager$LoggerWeakRef (java.logging@17.0.13)
 229:           312           9984  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$Node
 230:           249           9960  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@17.0.13)
 231:           260           9752  [Ljava.lang.reflect.Method; (java.base@17.0.13)
 232:           403           9672  java.util.regex.Pattern$BmpCharProperty (java.base@17.0.13)
 233:           301           9632  java.lang.module.ModuleDescriptor$Requires (java.base@17.0.13)
 234:           399           9576  sun.reflect.generics.tree.FormalTypeParameter (java.base@17.0.13)
 235:            34           9520  java.util.concurrent.atomic.Striped64$Cell (java.base@17.0.13)
 236:           237           9480  org.apache.kafka.common.Node
 237:           582           9312  java.util.Collections$UnmodifiableSet (java.base@17.0.13)
 238:           384           9216  io.netty.buffer.IntPriorityQueue
 239:            16           9216  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
 240:           230           9200  sun.reflect.generics.repository.MethodRepository (java.base@17.0.13)
 241:           164           9184  sun.security.x509.X509CertInfo (java.base@17.0.13)
 242:           226           9040  java.security.CodeSource (java.base@17.0.13)
 243:           160           8960  java.lang.Module (java.base@17.0.13)
 244:            39           8816  [D (java.base@17.0.13)
